Year,BirthsPer(1000)
1960,51.321
1961,51.189
1962,51.031
1963,50.985
1964,50.985
1965,50.763
1966,50.644
1967,50.606
1968,50.287
1969,50.027
1970,49.833
1971,49.617
1972,49.416
1973,49.033
1974,48.612
1975,48.191
1976,46.852
1977,45.717
1978,44.738
1979,43.891
1980,43.154
1981,42.454
1982,41.727
1983,40.987
1984,40.197
1985,39.306
1986,38.375
1987,37.343
1988,36.449
1989,35.442
1990,34.413
1991,33.423
1992,32.423
1993,31.547
1994,30.762
1995,30.016
1996,29.392
1997,28.901
1998,28.455
1999,28.021
2000,27.656
2001,26.852
2002,25.896
2003,24.794
2004,23.8
2005,23.058
2006,23.114
2007,23.242
2008,22.749
2009,22.307
2010,21.894
2011,21.634
2012,21.245
2013,20.754
2014,20.161
2015,19.524
2016,18.972
2017,18.903
2018,18.703
2019,18.451
2020,18.238
2021,17.473
